cloudCover,dayOfWeek,dayOrNight,expirationTimeUtc,iconCode,iconCodeExtend,precipChance,precipType,pressureMeanSeaLevel,qpf,qpfSnow,relativeHumidity,temperature,temperatureDewPoint,temperatureFeelsLike,temperatureHeatIndex,temperatureWindChill,uvDescription,uvIndex,validTimeLocal,validTimeUtc,visibility,windDirection,windDirectionCardinal,windGust,windSpeed,wxPhraseLong,wxPhraseShort,wxSeverity
56,Wednesday,D,1560911729,30,3000,0,rain,1006.98,0.0,0,60,27,19,29,29,27,Very High,10,2019-06-19T12:00:00+0900,1560913200,16,17,NNE,28.0,17,Partly Cloudy,P Cloudy,1
60,Wednesday,D,1560911729,28,2800,0,rain,1006.22,0.0,0,58,28,19,29,29,28,Very High,9,2019-06-19T13:00:00+0900,1560916800,16,16,NNE,29.0,18,Mostly Cloudy,M Cloudy,1
59,Wednesday,D,1560911729,30,3000,0,rain,1005.52,0.0,0,57,28,19,29,29,28,Very High,8,2019-06-19T14:00:00+0900,1560920400,16,15,NNE,30.0,19,Partly Cloudy,P Cloudy,1
43,Wednesday,D,1560911729,30,3000,0,rain,1005.02,0.0,0,55,28,18,29,29,28,High,6,2019-06-19T15:00:00+0900,1560924000,16,15,NNE,29.0,18,Partly Cloudy,P Cloudy,1
36,Wednesday,D,1560911729,30,3000,0,rain,1004.82,0.0,0,58,27,18,29,29,27,Moderate,4,2019-06-19T16:00:00+0900,1560927600,16,16,NNE,26.0,17,Partly Cloudy,P Cloudy,1
40,Wednesday,D,1560911729,30,3000,1,rain,1004.8,0.0,0,58,27,18,28,28,27,Low,2,2019-06-19T17:00:00+0900,1560931200,16,14,NNE,,16,Partly Cloudy,P Cloudy,1
33,Wednesday,D,1560911729,30,3000,3,rain,1005.0,0.0,0,63,26,18,28,28,26,Low,0,2019-06-19T18:00:00+0900,1560934800,16,12,NNE,,15,Partly Cloudy,P Cloudy,1
34,Wednesday,D,1560912134,30,3000,4,rain,1005.4,0.0,0,70,24,18,25,25,24,Low,0,2019-06-19T19:00:00+0900,1560938400,16,9,N,,12,Partly Cloudy,P Cloudy,1
35,Wednesday,N,1560912134,29,2900,5,rain,1005.7,0.0,0,72,24,18,24,24,24,Low,0,2019-06-19T20:00:00+0900,1560942000,15,0,N,,9,Partly Cloudy,P Cloudy,1
33,Wednesday,N,1560912134,29,2900,6,rain,1006.0,0.0,0,74,23,18,24,24,23,Low,0,2019-06-19T21:00:00+0900,1560945600,14,357,N,,6,Partly Cloudy,P Cloudy,1
