cloudCover,dayOfWeek,dayOrNight,expirationTimeUtc,iconCode,iconCodeExtend,precipChance,precipType,pressureMeanSeaLevel,qpf,qpfSnow,relativeHumidity,temperature,temperatureDewPoint,temperatureFeelsLike,temperatureHeatIndex,temperatureWindChill,uvDescription,uvIndex,validTimeLocal,validTimeUtc,visibility,windDirection,windDirectionCardinal,windGust,windSpeed,wxPhraseLong,wxPhraseShort,wxSeverity
45,Wednesday,D,1560912213,30,3000,3,rain,1007.65,0.0,0,54,27,17,28,28,27,Very High,10,2019-06-19T12:00:00+0900,1560913200,16,233,SW,,8,Partly Cloudy,P Cloudy,1
34,Wednesday,D,1560912213,30,3000,10,rain,1006.9,0.0,0,51,28,17,29,29,28,Very High,10,2019-06-19T13:00:00+0900,1560916800,16,231,SW,,10,Partly Cloudy,P Cloudy,1
40,Wednesday,D,1560912213,30,3000,16,rain,1006.4,0.0,0,49,28,16,29,29,28,Very High,8,2019-06-19T14:00:00+0900,1560920400,16,230,SW,,12,Partly Cloudy,P Cloudy,1
42,Wednesday,D,1560912213,30,3000,24,rain,1005.9,0.0,0,48,28,16,29,29,28,Moderate,5,2019-06-19T15:00:00+0900,1560924000,16,228,SW,,12,Partly Cloudy,P Cloudy,1
51,Wednesday,D,1560912213,30,3000,24,rain,1005.8,0.0,0,50,27,16,28,28,27,Moderate,3,2019-06-19T16:00:00+0900,1560927600,16,229,SW,,10,Partly Cloudy,P Cloudy,1
54,Wednesday,D,1560912213,30,3000,24,rain,1005.7,0.0,0,54,26,16,27,27,26,Low,1,2019-06-19T17:00:00+0900,1560931200,16,232,SW,,11,Partly Cloudy,P Cloudy,1
66,Wednesday,D,1560912213,28,2800,14,rain,1005.9,0.0,0,61,25,17,25,25,25,Low,0,2019-06-19T18:00:00+0900,1560934800,16,237,SW,,10,Mostly Cloudy,M Cloudy,1
55,Wednesday,D,1560913337,30,3000,15,rain,1006.16,0.0,0,64,25,17,26,26,25,Low,0,2019-06-19T19:00:00+0900,1560938400,16,238,WSW,,7,Partly Cloudy,P Cloudy,1
44,Wednesday,N,1560913337,29,2900,22,rain,1006.4,0.0,0,68,24,18,24,24,24,Low,0,2019-06-19T20:00:00+0900,1560942000,15,230,SW,,7,Partly Cloudy,P Cloudy,1
38,Wednesday,N,1560913337,29,2900,8,rain,1006.7,0.0,0,72,23,18,24,24,23,Low,0,2019-06-19T21:00:00+0900,1560945600,14,261,W,,6,Partly Cloudy,P Cloudy,1
41,Wednesday,N,1560913337,29,2900,6,rain,1006.7,0.0,0,73,23,18,23,23,23,Low,0,2019-06-19T22:00:00+0900,1560949200,14,281,W,,5,Partly Cloudy,P Cloudy,1
26,Wednesday,N,1560913337,33,3300,7,rain,1006.6,0.0,0,74,23,18,23,23,23,Low,0,2019-06-19T23:00:00+0900,1560952800,12,309,NW,,5,Mostly Clear,M Clear,1
