cloudCover,dayOfWeek,dayOrNight,expirationTimeUtc,iconCode,iconCodeExtend,precipChance,precipType,pressureMeanSeaLevel,qpf,qpfSnow,relativeHumidity,temperature,temperatureDewPoint,temperatureFeelsLike,temperatureHeatIndex,temperatureWindChill,uvDescription,uvIndex,validTimeLocal,validTimeUtc,visibility,windDirection,windDirectionCardinal,windGust,windSpeed,wxPhraseLong,wxPhraseShort,wxSeverity
35,Wednesday,D,1560911889,30,3000,0,rain,1007.3,0.0,0,59,26,18,28,28,26,Very High,10,2019-06-19T12:00:00+0900,1560913200,16,178,S,,11,Partly Cloudy,P Cloudy,1
29,Wednesday,D,1560911889,34,3400,1,rain,1006.5,0.0,0,58,27,18,28,28,27,Very High,9,2019-06-19T13:00:00+0900,1560916800,16,181,S,,13,Mostly Sunny,M Sunny,1
30,Wednesday,D,1560911889,30,3000,0,rain,1006.0,0.0,0,59,27,18,28,28,27,High,7,2019-06-19T14:00:00+0900,1560920400,16,181,S,,16,Partly Cloudy,P Cloudy,1
30,Wednesday,D,1560911889,30,3000,5,rain,1005.6,0.0,0,62,26,18,28,28,26,Moderate,4,2019-06-19T15:00:00+0900,1560924000,16,181,S,26.0,18,Partly Cloudy,P Cloudy,1
36,Wednesday,D,1560911889,30,3000,23,rain,1005.6,0.0,0,65,26,19,28,28,26,Low,2,2019-06-19T16:00:00+0900,1560927600,16,183,S,28.0,19,Partly Cloudy,P Cloudy,1
43,Wednesday,D,1560911889,30,3000,24,rain,1005.6,0.0,0,66,26,19,26,26,26,Low,1,2019-06-19T17:00:00+0900,1560931200,16,183,S,,18,Partly Cloudy,P Cloudy,1
49,Wednesday,D,1560911889,30,3000,21,rain,1005.9,0.0,0,67,25,18,25,25,25,Low,0,2019-06-19T18:00:00+0900,1560934800,16,185,S,,15,Partly Cloudy,P Cloudy,1
54,Wednesday,N,1560911706,29,2900,21,rain,1006.1,0.0,0,72,24,19,25,25,24,Low,0,2019-06-19T19:00:00+0900,1560938400,16,187,S,,15,Partly Cloudy,P Cloudy,1
58,Wednesday,N,1560911706,29,2900,22,rain,1006.4,0.0,0,75,23,19,24,24,23,Low,0,2019-06-19T20:00:00+0900,1560942000,16,193,SSW,,14,Partly Cloudy,P Cloudy,1
57,Wednesday,N,1560911706,29,2900,14,rain,1006.7,0.0,0,77,23,19,24,24,23,Low,0,2019-06-19T21:00:00+0900,1560945600,16,196,SSW,,14,Partly Cloudy,P Cloudy,1
55,Wednesday,N,1560911706,29,2900,14,rain,1006.7,0.0,0,81,22,19,23,23,22,Low,0,2019-06-19T22:00:00+0900,1560949200,15,201,SSW,,13,Partly Cloudy,P Cloudy,1
37,Wednesday,N,1560911706,29,2900,15,rain,1006.6,0.0,0,85,22,19,23,23,22,Low,0,2019-06-19T23:00:00+0900,1560952800,15,204,SSW,,12,Partly Cloudy,P Cloudy,1
44,Thursday,N,1560911706,29,2900,12,rain,1006.4,0.0,0,86,22,19,23,23,22,Low,0,2019-06-20T00:00:00+0900,1560956400,14,208,SSW,,10,Partly Cloudy,P Cloudy,1
48,Thursday,N,1560911706,29,2900,20,rain,1006.1,0.0,0,88,21,19,22,22,21,Low,0,2019-06-20T01:00:00+0900,1560960000,13,215,SW,,8,Partly Cloudy,P Cloudy,1
49,Thursday,N,1560911706,29,2900,17,rain,1005.7,0.0,0,91,21,19,22,22,21,Low,0,2019-06-20T02:00:00+0900,1560963600,12,234,SW,,5,Partly Cloudy,P Cloudy,1
51,Thursday,N,1560911706,29,2900,22,rain,1005.6,0.0,0,92,21,19,22,22,21,Low,0,2019-06-20T03:00:00+0900,1560967200,10,265,W,,4,Partly Cloudy,P Cloudy,1
65,Thursday,N,1560911706,27,2700,22,rain,1005.8,0.0,0,92,21,19,22,22,21,Low,0,2019-06-20T04:00:00+0900,1560970800,10,315,NW,,3,Mostly Cloudy,M Cloudy,1
64,Thursday,D,1560911706,28,2800,24,rain,1006.0,0.0,0,93,21,19,22,22,21,Low,0,2019-06-20T05:00:00+0900,1560974400,10,340,NNW,,5,Mostly Cloudy,M Cloudy,1
