latitude,longitude,drivingDifficultyIndex,observationTimeUtcIso,precip1Hour,precip24Hour,precip6Hour,pressureChange,relativeHumidity,wxPhraseCode,iconCode,snow1Hour,snow24Hour,snow6Hour,temperature,temperatureChange24Hour,temperatureDewPoint,temperatureFeelsLike,temperatureMax24Hour,temperatureMin24Hour,uvIndex,visibility,windGust,windSpeed
33.604,130.43,0.0,2016-02-03T22:20:00+0000,0.0,1.4,0.0,0.1,78.6,3000.0,30.0,0.0,0.0,0.0,2.5,-1.4,-0.9,-0.4,10.0,1.0,0.0,16.1,,10.1
33.604,130.43,0.0,2016-02-03T23:20:00+0000,0.0,0.0,0.0,0.3,76.7,3000.0,30.0,0.0,0.0,0.0,2.6,-1.3,-1.0,-0.9,10.0,1.0,0.0,16.1,,13.7
33.604,130.43,0.0,2016-02-04T00:20:00+0000,0.0,0.0,0.0,0.4,70.1,3000.0,30.0,0.0,0.0,0.0,4.0,-0.6,-0.9,0.6,10.0,1.0,1.0,16.1,,14.0
33.604,130.43,0.0,2016-02-04T01:20:00+0000,0.0,0.0,0.0,0.3,66.3,2800.0,28.0,0.0,0.0,0.0,5.9,-0.1,0.1,3.6,10.0,1.0,2.0,16.1,,10.4
33.604,130.43,0.0,2016-02-04T02:20:00+0000,0.0,0.0,0.0,0.0,53.8,2800.0,28.0,0.0,0.0,0.0,8.4,0.2,-0.4,6.5,10.0,1.0,3.0,16.1,,11.2
33.604,130.43,0.0,2016-02-04T03:20:00+0000,0.0,0.0,0.0,-0.6,47.5,2800.0,28.0,0.0,0.0,0.0,9.8,0.4,-0.9,7.6,10.0,1.0,2.0,16.1,,14.8
33.604,130.43,0.0,2016-02-04T04:20:00+0000,0.0,0.0,0.0,-1.2,44.5,2800.0,28.0,0.0,0.0,0.0,9.8,1.0,-1.8,7.8,10.0,1.0,3.0,16.1,,14.0
33.604,130.43,0.0,2016-02-04T05:20:00+0000,0.0,0.0,0.0,-1.7,45.6,2800.0,28.0,0.0,0.0,0.0,9.1,-0.5,-1.9,7.0,10.0,1.0,2.0,16.1,,14.4
33.604,130.43,0.0,2016-02-04T06:20:00+0000,0.0,0.0,0.0,-1.0,43.1,2800.0,28.0,0.0,0.0,0.0,10.0,0.5,-1.9,7.6,10.0,1.0,1.0,16.1,,16.6
33.604,130.43,0.0,2016-02-04T07:20:00+0000,0.0,0.0,0.0,-0.1,45.9,2800.0,28.0,0.0,0.0,0.0,9.1,0.1,-1.9,7.3,10.0,1.0,0.0,16.1,,12.6
33.604,130.43,0.0,2016-02-04T08:20:00+0000,0.0,0.0,0.0,1.9,47.6,2600.0,26.0,0.0,0.0,0.0,9.0,0.6,-1.5,6.9,10.0,1.0,0.0,16.1,,13.3
33.604,130.43,,2016-02-04T09:20:00+0000,,,,,,,,,,,,,,,,,,,,
33.604,130.43,,2016-02-04T10:20:00+0000,,,,,,,,,,,,,,,,,,,,
33.604,130.43,,2016-02-04T11:20:00+0000,,,,,,,,,,,,,,,,,,,,
33.604,130.43,,2016-02-04T12:20:00+0000,,,,,,,,,,,,,,,,,,,,
33.604,130.43,,2016-02-04T13:20:00+0000,,,,,,,,,,,,,,,,,,,,
33.604,130.43,0.0,2016-02-04T14:20:00+0000,0.0,0.0,,0.0,69.8,2900.0,29.0,0.0,0.0,,5.5,1.4,0.5,3.9,10.0,1.0,0.0,16.1,,7.2
33.604,130.43,0.0,2016-02-04T15:20:00+0000,0.0,0.0,,0.7,70.8,2900.0,29.0,0.0,0.0,,5.3,1.8,0.5,3.6,10.0,1.0,0.0,16.1,,7.2
33.604,130.43,0.0,2016-02-04T16:20:00+0000,0.0,0.0,,0.5,77.3,2900.0,29.0,0.0,0.0,,4.1,1.2,0.6,2.9,10.0,1.0,0.0,16.1,,5.4
33.604,130.43,0.0,2016-02-04T17:20:00+0000,0.0,0.0,0.0,0.3,82.7,2900.0,29.0,0.0,0.0,0.0,3.1,0.6,0.6,1.1,10.0,1.0,0.0,16.1,,7.2
33.604,130.43,0.0,2016-02-04T18:20:00+0000,0.0,0.0,0.0,0.1,75.9,2700.0,27.0,0.0,0.0,0.0,4.1,1.7,0.3,2.6,10.0,1.1,0.0,16.1,,5.8
33.604,130.43,0.0,2016-02-04T19:20:00+0000,0.0,0.0,0.0,-0.1,81.3,2900.0,29.0,0.0,0.0,0.0,3.1,0.6,0.3,3.1,10.0,2.0,0.0,16.1,,3.6
33.604,130.43,0.0,2016-02-04T20:20:00+0000,0.0,0.0,0.0,-0.5,81.8,2900.0,29.0,0.0,0.0,0.0,3.1,0.0,0.3,1.5,10.0,2.0,0.0,16.1,,5.8
33.604,130.43,0.0,2016-02-04T21:20:00+0000,0.0,0.0,0.0,-0.6,81.8,2800.0,28.0,0.0,0.0,0.0,3.1,0.0,0.3,1.4,10.0,2.0,0.0,16.1,,6.1
33.604,130.43,0.0,2016-02-04T22:20:00+0000,0.0,0.0,0.0,0.5,76.7,2800.0,28.0,0.0,0.0,0.0,4.0,1.1,0.3,4.0,10.0,2.0,0.0,16.1,,4.0
33.604,130.43,0.0,2016-02-04T23:20:00+0000,0.0,0.0,0.0,0.7,76.9,2800.0,28.0,0.0,0.0,0.0,3.9,0.4,0.1,3.9,10.0,3.0,0.0,16.1,,2.2
33.604,130.43,0.0,2016-02-05T00:20:00+0000,0.0,0.0,0.0,0.6,76.2,2600.0,26.0,0.0,0.0,0.0,5.0,0.5,1.1,3.6,10.0,3.0,1.0,16.1,,5.8
33.604,130.43,0.0,2016-02-05T01:20:00+0000,0.0,0.0,0.0,-0.6,70.6,2800.0,28.0,0.0,0.0,0.0,6.1,0.0,1.1,3.5,10.0,3.0,2.0,16.1,,12.2
33.604,130.43,0.0,2016-02-05T02:20:00+0000,0.0,0.0,0.0,0.0,60.6,2800.0,28.0,0.0,0.0,0.0,7.6,-0.8,0.6,6.1,10.0,3.0,3.0,16.1,,8.3
33.604,130.43,0.0,2016-02-05T03:20:00+0000,0.0,0.0,0.0,-0.4,53.4,3000.0,30.0,0.0,0.0,0.0,8.6,-0.7,-0.3,8.6,10.0,3.0,4.0,16.1,,3.2
33.604,130.43,0.0,2016-02-05T04:20:00+0000,0.0,0.0,0.0,-0.6,47.5,3000.0,30.0,0.0,0.0,0.0,8.9,-0.7,-1.8,7.6,10.0,3.0,4.0,16.1,,7.9
33.604,130.43,0.0,2016-02-05T05:20:00+0000,0.0,0.0,0.0,0.2,49.8,3000.0,30.0,0.0,0.0,0.0,9.1,0.0,-0.9,7.0,10.0,3.0,3.0,16.1,,13.0
33.604,130.43,0.0,2016-02-05T06:20:00+0000,0.0,0.0,0.0,0.2,41.3,3000.0,30.0,0.0,0.0,0.0,10.0,-0.1,-2.5,7.4,10.0,3.0,2.0,16.1,,19.4
33.604,130.43,0.0,2016-02-05T07:20:00+0000,0.0,0.0,0.0,1.4,36.7,3000.0,30.0,0.0,0.0,0.0,10.0,0.6,-4.1,8.4,10.0,3.0,1.0,16.1,,11.5
33.604,130.43,0.0,2016-02-05T08:20:00+0000,0.0,0.0,0.0,1.4,41.6,3200.0,32.0,0.0,0.0,0.0,9.1,0.6,-3.4,7.0,10.0,3.0,0.0,16.1,,13.3
33.604,130.43,0.0,2016-02-05T09:20:00+0000,0.0,0.0,0.0,1.3,49.0,3100.0,31.0,0.0,0.0,0.0,8.0,1.6,-2.1,5.9,10.0,3.0,0.0,16.1,,11.5
