latitude,longitude,drivingDifficultyIndex,observationTimeUtcIso,precip1Hour,precip24Hour,precip6Hour,pressureChange,relativeHumidity,wxPhraseCode,iconCode,snow1Hour,snow24Hour,snow6Hour,temperature,temperatureChange24Hour,temperatureDewPoint,temperatureFeelsLike,temperatureMax24Hour,temperatureMin24Hour,uvIndex,visibility,windGust,windSpeed
34.747,135.483,0.0,2016-02-03T22:20:00+0000,0.0,0.0,0.0,0.1,82.4,3400.0,34.0,0.0,0.0,0.0,-0.4,-1.3,-2.9,-0.4,9.0,-2.0,0.0,16.1,,3.6
34.747,135.483,0.0,2016-02-03T23:20:00+0000,0.0,0.0,0.0,0.8,76.9,3200.0,32.0,0.0,0.0,0.0,1.5,-0.8,-2.1,1.5,9.0,-2.0,0.0,16.1,,4.0
34.747,135.483,0.0,2016-02-04T00:20:00+0000,0.0,0.0,0.0,0.7,69.1,3200.0,32.0,0.0,0.0,0.0,3.0,-1.1,-2.1,3.0,9.0,-2.0,1.0,16.1,,2.9
34.747,135.483,0.0,2016-02-04T01:20:00+0000,0.0,0.0,0.0,-0.8,61.4,3200.0,32.0,0.0,0.0,0.0,4.9,-0.7,-1.9,4.9,9.0,-2.0,2.0,16.1,,3.2
34.747,135.483,0.0,2016-02-04T02:20:00+0000,0.0,0.0,0.0,-1.6,49.7,3200.0,32.0,0.0,0.0,0.0,8.0,-0.1,-1.9,6.6,9.0,-2.0,3.0,16.1,,7.9
34.747,135.483,0.0,2016-02-04T03:20:00+0000,0.0,0.0,0.0,-2.3,46.9,3200.0,32.0,0.0,0.0,0.0,8.6,0.9,-2.0,6.6,9.0,-2.0,4.0,16.1,,12.6
34.747,135.483,0.0,2016-02-04T04:20:00+0000,0.0,0.0,0.0,-2.9,42.0,3400.0,34.0,0.0,0.0,0.0,9.6,0.3,-2.6,7.4,9.9,-2.0,3.0,16.1,,16.2
34.747,135.483,0.0,2016-02-04T05:20:00+0000,0.0,0.0,0.0,-1.2,42.0,3000.0,30.0,0.0,0.0,0.0,9.6,0.3,-2.6,7.4,10.0,-2.0,2.0,16.1,,16.2
34.747,135.483,0.0,2016-02-04T06:20:00+0000,0.0,0.0,0.0,-0.2,43.9,3000.0,30.0,0.0,0.0,0.0,9.0,0.6,-2.6,6.4,10.0,-2.0,1.0,16.1,,16.9
34.747,135.483,0.0,2016-02-04T07:20:00+0000,0.0,0.0,0.0,0.7,44.3,2800.0,28.0,0.0,0.0,0.0,9.1,0.6,-2.4,6.9,10.0,-2.0,0.0,16.1,,14.0
34.747,135.483,0.0,2016-02-04T08:20:00+0000,0.0,0.0,0.0,0.6,46.0,2800.0,28.0,0.0,0.0,0.0,9.0,1.1,-2.0,6.6,10.0,-2.0,0.0,16.1,,14.8
34.747,135.483,,2016-02-04T09:20:00+0000,,,,,,,,,,,,,,,,,,,,
34.747,135.483,,2016-02-04T10:20:00+0000,,,,,,,,,,,,,,,,,,,,
34.747,135.483,,2016-02-04T11:20:00+0000,,,,,,,,,,,,,,,,,,,,
34.747,135.483,,2016-02-04T12:20:00+0000,,,,,,,,,,,,,,,,,,,,
