latitude,longitude,drivingDifficultyIndex,observationTimeUtcIso,precip1Hour,precip24Hour,precip6Hour,pressureChange,relativeHumidity,wxPhraseCode,iconCode,snow1Hour,snow24Hour,snow6Hour,temperature,temperatureChange24Hour,temperatureDewPoint,temperatureFeelsLike,temperatureMax24Hour,temperatureMin24Hour,uvIndex,visibility,windGust,windSpeed
35.67,139.79,0.0,2016-02-03T22:20:00+0000,0.0,0.0,0.0,0.7,69.7,3000.0,30.0,0.0,0.0,0.0,2.5,-0.9,-2.4,0.4,9.0,2.3,0.0,16.1,,7.2
35.67,139.79,0.0,2016-02-03T23:20:00+0000,0.0,0.0,0.0,1.8,67.7,3000.0,30.0,0.0,0.0,0.0,2.9,-0.7,-2.5,-0.3,9.0,2.3,1.0,16.1,,11.2
35.67,139.79,0.0,2016-02-04T00:20:00+0000,0.0,0.0,0.0,-0.3,62.8,3000.0,30.0,0.0,0.0,0.0,4.0,0.2,-2.4,1.1,9.0,2.3,2.0,16.1,,11.2
35.67,139.79,0.0,2016-02-04T01:20:00+0000,0.0,0.0,0.0,-0.1,56.7,3000.0,30.0,0.0,0.0,0.0,4.8,-0.7,-3.0,3.3,9.0,2.3,3.0,16.1,,6.5
35.67,139.79,0.0,2016-02-04T02:20:00+0000,0.0,0.0,0.0,-1.0,52.5,3000.0,30.0,0.0,0.0,0.0,5.9,-0.1,-3.1,4.9,9.0,2.3,3.0,16.1,,5.4
35.67,139.79,0.0,2016-02-04T03:20:00+0000,0.0,0.0,0.0,-2.6,47.3,3000.0,30.0,0.0,0.0,0.0,6.8,-0.5,-3.6,5.9,9.0,2.3,3.0,16.1,,5.4
35.67,139.79,0.0,2016-02-04T04:20:00+0000,0.0,0.0,0.0,-2.7,46.0,3000.0,30.0,0.0,0.0,0.0,7.1,0.1,-3.8,6.5,9.0,2.3,3.0,16.1,,5.0
35.67,139.79,0.0,2016-02-04T05:20:00+0000,0.0,0.0,0.0,-2.3,42.8,3000.0,30.0,0.0,0.0,0.0,8.3,0.7,-3.6,6.5,9.0,2.3,2.0,16.1,,10.4
35.67,139.79,0.0,2016-02-04T06:20:00+0000,0.0,0.0,0.0,-1.6,43.7,3000.0,30.0,0.0,0.0,0.0,9.0,0.0,-2.6,7.3,9.1,2.3,1.0,16.1,,11.2
35.67,139.79,0.0,2016-02-04T07:20:00+0000,0.0,0.0,0.0,0.2,48.3,3000.0,30.0,0.0,0.0,0.0,8.3,0.1,-2.0,6.3,9.1,2.3,0.0,16.1,,11.9
35.67,139.79,0.0,2016-02-04T08:20:00+0000,0.0,0.0,0.0,0.3,51.4,3000.0,30.0,0.0,0.0,0.0,8.0,0.5,-1.4,6.0,9.1,2.3,0.0,16.1,,11.2
35.67,139.79,,2016-02-04T09:20:00+0000,,,,,,,,,,,,,,,,,,,,
35.67,139.79,,2016-02-04T10:20:00+0000,,,,,,,,,,,,,,,,,,,,
35.67,139.79,,2016-02-04T11:20:00+0000,,,,,,,,,,,,,,,,,,,,
35.67,139.79,,2016-02-04T12:20:00+0000,,,,,,,,,,,,,,,,,,,,
35.67,139.79,,2016-02-04T13:20:00+0000,,,,,,,,,,,,,,,,,,,,
35.67,139.79,0.0,2016-02-04T14:20:00+0000,0.0,0.0,,0.0,79.1,2900.0,29.0,0.0,0.0,,5.5,0.2,2.1,4.1,9.1,2.3,0.0,16.1,,6.5
35.67,139.79,0.0,2016-02-04T15:20:00+0000,0.0,0.0,,1.6,74.9,2900.0,29.0,0.0,0.0,,5.8,0.4,1.6,4.1,9.1,2.3,0.0,16.1,,7.6
35.67,139.79,0.0,2016-02-04T16:20:00+0000,0.0,0.0,,1.3,75.8,2900.0,29.0,0.0,0.0,,4.6,-0.2,0.8,3.1,9.1,2.3,0.0,16.1,,6.5
35.67,139.79,0.0,2016-02-04T17:20:00+0000,0.0,0.0,0.0,1.0,74.3,2900.0,29.0,0.0,0.0,0.0,4.3,0.1,0.1,1.8,9.1,2.3,0.0,16.1,,9.7
